CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'11/01/2018 10:57:57';0001,000;'ACT:PROB';1391964,119;0703,000;2093608,000;701643,881;-0550,000;9999,000;9999,000;0027,000;1801111058,000
'11/01/2018 10:57:57';0002,000;'ACT:PROB';2073833,899;0621,000;10278160,000;8204326,101;-0550,000;0056,000;0055,000;0031,000;1801111058,000
'11/01/2018 10:57:57';0003,000;'ACT:PROB';2124480,250;0619,000;6496142,000;4371661,750;-0550,000;0066,000;9999,000;0045,000;1801111058,000
'11/01/2018 10:57:57';0004,000;'ACT:PROB';1949112,589;0604,000;7078176,000;5129063,411;-0550,000;0045,000;9999,000;0027,000;1801111058,000
'11/01/2018 10:57:57';0005,000;'ACT:PROB';1687776,339;0623,000;5078850,000;3391073,661;-0550,000;0073,000;9999,000;0051,000;1801111058,000
'11/01/2018 10:57:57';0006,000;'ACT:PROB';2090833,363;0626,000;5417115,000;3326281,637;-0550,000;9999,000;9999,000;0048,000;1801111058,000
'11/01/2018 10:57:57';0007,000;'ACT:PROB';1953220,524;0618,000;8013864,000;6060643,476;-0550,000;0051,000;0050,000;0031,000;1801111058,000
'11/01/2018 10:57:57';0008,000;'ACT:PROB';1996493,690;0630,000;8000215,000;6003721,310;-0550,000;0064,000;0063,000;0041,000;1801111058,000
'11/01/2018 10:57:57';0009,000;'ACT:PROB';1936777,321;0626,000;6564176,000;4627398,679;-0550,000;0068,000;0067,000;0046,000;1801111058,000
'11/01/2018 10:57:57';0010,000;'ACT:PROB';1981459,577;0607,000;7762417,000;5780957,423;-0550,000;0047,000;9999,000;0029,000;1801111058,000
'11/01/2018 10:57:57';0011,000;'ACT:PROB';1928420,982;0641,000;8653658,000;6725237,018;-0550,000;0079,000;0078,000;0064,000;1801111058,000
'11/01/2018 10:57:57';0012,000;'ACT:PROB';1974481,899;0684,000;2072084,000;97602,101;-0550,000;9999,000;9999,000;0024,000;1801111058,000
'11/01/2018 10:57:57';0013,000;'ACT:PROB';1736215,845;0670,000;6683492,000;4947276,155;-0550,000;9999,000;9999,000;0051,000;1801111058,000
'11/01/2018 10:57:57';0014,000;'ACT:PROB';1748612,280;0670,000;8600527,000;6851914,720;-0550,000;9999,000;9999,000;0047,000;1801111058,000
'11/01/2018 10:57:57';0015,000;'ACT:PROB';1847137,958;0676,000;8537554,000;6690416,042;-0550,000;9999,000;9999,000;0027,000;1801111058,000
'11/01/2018 10:57:57';0016,000;'ACT:PROB';1672512,720;0652,000;5575780,000;3903267,280;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0017,000;'ACT:PROB';2587567,107;0679,000;7471113,000;4883545,893;-0550,000;9999,000;9999,000;0034,000;1801111058,000
'11/01/2018 10:57:57';0018,000;'ACT:PROB';1849468,351;0675,000;7316918,000;5467449,649;-0550,000;9999,000;9999,000;0062,000;1801111058,000
'11/01/2018 10:57:57';0019,000;'ACT:PROB';1642297,518;0650,000;7130941,000;5488643,482;-0550,000;9999,000;9999,000;9999,000;1801111058,000
