version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C4	C5	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	US_Intensity	Total_trial_nr	
21622	Tue Nov 28 09:21:24 2017	2	1	156::42	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	999	6	140	1	
21622	Tue Nov 28 09:21:42 2017	2	2	2::2	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	2	
21622	Tue Nov 28 09:21:52 2017	2	3	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	3	
21622	Tue Nov 28 09:21:59 2017	2	4	255::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	120	5	140	4	
21622	Tue Nov 28 09:22:17 2017	2	5	277::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	124	5	140	5	
21622	Tue Nov 28 09:22:36 2017	2	6	438::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	120	6	140	6	
21622	Tue Nov 28 09:22:55 2017	2	7	401::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	117	5	140	7	
21622	Tue Nov 28 09:23:12 2017	2	8	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	8	
21622	Tue Nov 28 09:23:21 2017	2	9	751::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	119	6	140	9	
21622	Tue Nov 28 09:23:39 2017	2	10	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	10	
21622	Tue Nov 28 09:24:08 2017	3	1	238::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	119	6	140	11	
21622	Tue Nov 28 09:24:25 2017	3	2	277::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	123	6	140	12	
21622	Tue Nov 28 09:24:44 2017	3	3	328::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	121	6	140	13	
21622	Tue Nov 28 09:25:04 2017	3	4	325::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	120	6	140	14	
21622	Tue Nov 28 09:25:23 2017	3	5	245::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	130	6	140	15	
21622	Tue Nov 28 09:25:43 2017	3	6	315::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	130	5	140	16	
21622	Tue Nov 28 09:26:01 2017	3	7	305::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	120	5	140	17	
21622	Tue Nov 28 09:26:18 2017	3	8	283::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	125	5	140	18	
21622	Tue Nov 28 09:26:38 2017	3	9	252::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	126	5	140	19	
21622	Tue Nov 28 09:26:56 2017	3	10	341::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	122	5	140	20	
21622	Tue Nov 28 09:27:15 2017	3	11	287::12	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	130	6	140	21	
21622	Tue Nov 28 09:27:33 2017	3	12	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	22	
21622	Tue Nov 28 09:27:40 2017	3	13	315::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	130	6	140	23	
21622	Tue Nov 28 09:28:00 2017	3	14	300::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	149	6	140	24	
21622	Tue Nov 28 09:28:19 2017	3	15	267::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	140	6	140	25	
21622	Tue Nov 28 09:28:36 2017	4	1	260::10	2253.59		0	0	0	0	0	0	0	1	0	0	1	1	1	140	6	140	26	
