version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C1	C2	C3	C5	C4	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	Resp_Rev	US_Intensity	Total_trial_nr	group	
21622	Mon Nov 06 16:11:32 2017	2	1	43::36	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	1	2	
21622	Mon Nov 06 16:11:41 2017	2	2	2::2	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	2	2	
21622	Mon Nov 06 16:11:49 2017	2	3	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	3	2	
21622	Mon Nov 06 16:11:58 2017	2	4	174::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	999	3		170	4	2	
21622	Mon Nov 06 16:12:16 2017	2	5	291::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	180	4		170	5	2	
21622	Mon Nov 06 16:12:33 2017	2	6	244::12	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	50	3		170	6	2	
21622	Mon Nov 06 16:12:51 2017	2	7	276::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	190	4		170	7	2	
21622	Mon Nov 06 16:13:09 2017	2	8	264::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	186	3		170	8	2	
21622	Mon Nov 06 16:13:28 2017	2	9	499::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	41	1		170	9	2	
21622	Mon Nov 06 16:13:46 2017	2	10	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	10	2	
21622	Mon Nov 06 16:14:19 2017	3	1	423::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	39	2		170	11	2	
21622	Mon Nov 06 16:14:38 2017	3	2	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	12	2	
21622	Mon Nov 06 16:14:46 2017	3	3	222::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	141	2		170	13	2	
21622	Mon Nov 06 16:15:05 2017	3	4	548::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	154	2		170	14	2	
21622	Mon Nov 06 16:15:23 2017	3	5	332::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	36	2		170	15	2	
21622	Mon Nov 06 16:15:43 2017	3	6	488::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	141	2		170	16	2	
21622	Mon Nov 06 16:16:01 2017	3	7	263::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	40	2		170	17	2	
21622	Mon Nov 06 16:16:21 2017	3	8	485::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	165	8		170	18	2	
21622	Mon Nov 06 16:16:40 2017	3	9	231::11	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	159	8		170	19	2	
21622	Mon Nov 06 16:16:57 2017	3	10	607::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	40	2		170	20	2	
21622	Mon Nov 06 16:17:15 2017	3	11	339::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	38	2		170	21	2	
21622	Mon Nov 06 16:17:33 2017	3	12	286::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	140	8		170	22	2	
21622	Mon Nov 06 16:17:52 2017	3	13	520::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	40	1		170	23	2	
21622	Mon Nov 06 16:18:10 2017	3	14	249::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	151	10		170	24	2	
21622	Mon Nov 06 16:18:28 2017	3	15	333::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	41	1		170	25	2	
21622	Mon Nov 06 16:18:47 2017	3	16	491::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	40	1		170	26	2	
21622	Mon Nov 06 16:19:04 2017	3	17	613::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	140	10		170	27	2	
21622	Mon Nov 06 16:19:24 2017	3	18	319::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	41	1		170	28	2	
21622	Mon Nov 06 16:19:42 2017	3	19	624::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	142	10		170	29	2	
21622	Mon Nov 06 16:20:01 2017	3	20	273::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	40	1		170	30	2	
21622	Mon Nov 06 16:20:21 2017	3	21	260::12	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	140	10		170	31	2	
21622	Mon Nov 06 16:20:41 2017	3	22	267::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	41	1		170	32	2	
21622	Mon Nov 06 16:20:58 2017	3	23	321::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	139	10		170	33	2	
21622	Mon Nov 06 16:21:15 2017	3	24	424::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	141	10		170	34	2	
21622	Mon Nov 06 16:21:35 2017	3	25	460::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	40	1		170	35	2	
21622	Mon Nov 06 16:21:52 2017	4	1	238::11	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	102	5		170	36	2	
